# of p t rho h g m mw cp gam pip mach aeat cf ivac isp t0 at p0at m_dot 
6.0 34.0 2809.6 3.2704 -5521.7 -38723.0 0.0 22.47 2.4322 1.1794 1.0 0.0 0.0 0.0 0.0 0.0 2809.6 0.0 0.0 0.0 
6.0 19.305 2576.2 2.0252 -6085.4 -36528.0 0.0 22.47 2.3964 1.1826 1.7329 0.99999 1.0 0.65565 1978.2 1052.2 2811.40235588 139.713370938 4749.48524365 3.00420185381 
6.0 1.096 1617.9 0.18307 -8281.1 -27401.0 0.0 22.47 2.1561 1.2072 29.384 2.7078 5.0 1.4876 2660.3 2387.3 2846.87938548 70.9835337673 2093.30465179 1.32558647439 
6.0 36.0 2812.7 3.4601 -5521.7 -38700.0 0.0 22.477 2.4327 1.1793 1.0 0.0 0.0 0.0 0.0 0.0 2812.7 0.0 0.0 0.0 
6.0 20.442 2579.1 2.1427 -6085.8 -36509.0 0.0 22.477 2.3969 1.1825 1.7332 0.99999 1.0 0.65581 1978.9 1052.7 2814.43816817 131.914790667 4748.326497 3.00222460776 
6.0 1.1608 1620.3 0.19367 -8283.4 -27397.0 0.0 22.477 2.157 1.207 29.406 2.7087 5.0 1.4875 2660.7 2387.8 2850.73194312 66.8997792332 2093.44537815 1.32490708352 
6.0 38.0 2815.5 3.6496 -5521.7 -38678.0 0.0 22.484 2.4331 1.1792 1.0 0.0 0.0 0.0 0.0 0.0 2815.5 0.0 0.0 0.0 
6.0 21.578 2581.9 2.26 -6086.2 -36491.0 0.0 22.484 2.3974 1.1824 1.7334 0.99999 1.0 0.65595 1979.4 1053.2 2817.36457064 124.947639292 4747.3130574 3.00040016716 
6.0 1.2257 1622.6 0.20427 -8285.6 -27393.0 0.0 22.484 2.1578 1.2068 29.427 2.7096 5.0 1.4875 2661.0 2388.2 2854.4061773 63.238583946 2093.44537815 1.32418151268 
6.0 40.0 2818.3 3.8391 -5521.7 -38656.0 0.0 22.49 2.4335 1.1791 1.0 0.0 0.0 0.0 0.0 0.0 2818.3 0.0 0.0 0.0 
6.0 22.715 2584.5 2.3773 -6086.6 -36473.0 0.0 22.49 2.3979 1.1823 1.7337 0.99999 1.0 0.65609 1980.0 1053.6 2820.07246348 118.672171835 4746.3000503 2.99862793764 
6.0 1.2906 1624.7 0.21486 -8287.7 -27389.0 0.0 22.49 2.1586 1.2067 29.447 2.7103 5.0 1.4874 2661.4 2388.7 2858.14103179 59.9782718904 2093.58612344 1.32354222995 
6.0 42.0 2820.8 4.0284 -5521.7 -38635.0 0.0 22.496 2.4339 1.179 1.0 0.0 0.0 0.0 0.0 0.0 2820.8 0.0 0.0 0.0 
6.0 23.851 2587.0 2.4945 -6086.9 -36455.0 0.0 22.496 2.3983 1.1822 1.7339 0.99999 1.0 0.65623 1980.5 1054.1 2822.67098651 112.999740826 4745.28747543 2.99691621564 
6.0 1.3554 1626.7 0.22544 -8289.6 -27386.0 0.0 22.496 2.1593 1.2065 29.465 2.7111 5.0 1.4873 2661.7 2389.1 2861.1929128 57.0179433801 2093.72688765 1.3230228743 
6.0 44.0 2823.3 4.2177 -5521.7 -38616.0 0.0 22.501 2.4343 1.179 1.0 0.0 0.0 0.0 0.0 0.0 2823.3 0.0 0.0 0.0 
6.0 24.988 2589.3 2.6117 -6087.2 -36439.0 0.0 22.501 2.3988 1.1821 1.7342 0.99999 1.0 0.65635 1980.9 1054.5 2825.05104991 107.842067275 4744.41989792 2.99534727926 
6.0 1.4203 1628.6 0.23602 -8291.5 -27382.0 0.0 22.501 2.16 1.2064 29.482 2.7118 5.0 1.4873 2661.9 2389.5 2864.57430033 54.3361122229 2093.72688765 1.3223493885 
7.0 30.0 2757.7 2.9797 -5659.6 -37973.0 0.0 22.773 2.4149 1.1781 1.0 0.0 0.0 0.0 0.0 0.0 2757.7 0.0 0.0 0.0 
7.0 17.042 2530.1 1.8449 -6205.2 -35851.0 0.0 22.773 2.3783 1.1813 1.7297 1.0 1.0 0.654 1948.3 1034.1 2759.453565 158.735026134 4761.46788991 3.05921288967 
7.0 0.9693 1593.0 0.16666 -8334.1 -27001.0 0.0 22.773 2.1357 1.2062 28.331 2.6749 5.0 1.4882 2632.3 2353.2 2768.13981959 85.2006515418 2092.46069077 1.3523929743 
7.0 32.0 2761.1 3.1755 -5659.6 -37948.0 0.0 22.781 2.4154 1.178 1.0 0.0 0.0 0.0 0.0 0.0 2761.1 0.0 0.0 0.0 
7.0 18.179 2533.4 1.9661 -6205.7 -35831.0 0.0 22.781 2.379 1.1812 1.7299 1.0 1.0 0.65412 1949.0 1034.7 2762.92604 148.784858424 4760.59438635 3.05717249537 
7.0 1.0343 1595.7 0.1776 -8336.7 -26997.0 0.0 22.781 2.1367 1.206 28.357 2.6758 5.0 1.4882 2632.9 2354.0 2772.48132726 79.6977204124 2092.46069077 1.35149059524 
7.0 34.0 2764.3 3.3711 -5659.6 -37925.0 0.0 22.789 2.416 1.1779 1.0 0.0 0.0 0.0 0.0 0.0 2764.3 0.0 0.0 0.0 
7.0 19.316 2536.5 2.0872 -6206.1 -35812.0 0.0 22.789 2.3796 1.1811 1.7301 1.0 1.0 0.65424 1949.7 1035.2 2766.180075 140.006094528 4759.72120323 3.05525640622 
7.0 1.0993 1598.3 0.18852 -8339.1 -26994.0 0.0 22.789 2.1376 1.2058 28.383 2.6766 5.0 1.4882 2633.4 2354.7 2776.55860855 74.8596351237 2092.46069077 1.35065463606 
7.0 36.0 2767.4 3.5666 -5659.6 -37902.0 0.0 22.796 2.4165 1.1778 1.0 0.0 0.0 0.0 0.0 0.0 2767.4 0.0 0.0 0.0 
